"student_id","age","gender","residency","socioeconomic_status","parental_education","family_income","distance_to_university","study_hours_weekly","attendance_rate","library_usage","extracurricular_activities","internet_access","device_ownership","previous_grade","math_score","science_score","english_score","study_group_participation","scholarship_status","campus_housing","part_time_job","commute_time","sleep_hours","stress_level","course_load","faculty","year_of_study","mobile_money_usage","health_status","academic_performance","study_hours_binned","income_binned","total_score"
706,28,"Male","Urban","Middle","Tertiary",21311.1,76.1,17.6,0.758734693750739,0.2,"None","Yes","Both",85.3,54.1,50,54.1,"No","None","Off-Campus","No",49,5.9,"High",17.4,"Arts","3rd",2992.51,"Excellent","Average","Moderate","Medium-Low",52.7333333333333
707,29,"Female","Rural","Middle","Secondary",21696.65,45.9,12.5,0.926733821514063,-1.4,"Clubs","No","Laptop",71.2,48.6,61.9,39.1,"Yes","None","On-Campus","Yes",42,9.5,"High",17.3,"Education","2nd",-1216.98,"Good","Poor","Moderate","Medium-Low",49.8666666666667
708,28,"Male","Urban","Low","Tertiary",47865.08,89,14.3,0.917964972439222,7.2,"Sports","Yes","Both",56.3,63,90.1,56.2,"Yes","None","On-Campus","Yes",7.8,8.6,"High",16.9,"Business","3rd",2607.62,"Good","Good","Moderate","High",69.7666666666667
709,29,"Male","Rural","Low","Secondary",22082.73,12,19.7,0.924788094940595,2.3,"Both","No","None",66.3,69.4,43.7,76.2,"Yes","Full","On-Campus","No",41.7,5.4,"High",17.8,"Engineering","2nd",1988.58,"Good","Average","Moderate","Medium-Low",63.1
710,18,"Male","Rural","Middle","Primary",21312.22,35,13,0.888479770626873,0.5,"Both","No","Laptop",99.4,50.4,61,58.7,"Yes","None","Off-Campus","No",16.7,6.6,"Low",15.7,"Business","4th",3618.73,"Fair","Average","Moderate","Medium-Low",56.7
711,26,"Male","Urban","Middle","None",14620.86,4.5,20.2,0.79908103775233,7.5,"Sports","No","Smartphone",56.7,56.8,57.4,74.4,"Yes","None","On-Campus","No",32.6,5.4,"Low",20.4,"Sciences","3rd",-80.03,"Fair","Good","High","Low",62.8666666666667
712,25,"Male","Rural","Middle","Secondary",45639.13,71.3,16.4,0.702524196007289,2.6,"None","Yes","Laptop",54.3,56.3,80.5,70.8,"No","Partial","On-Campus","No",47.4,9.4,"High",18.8,"Sciences","1st",4326.83,"Good","Good","Moderate","High",69.2
713,27,"Female","Rural","Middle","Primary",6526.24,59.9,18.4,0.602888875524513,5.9,"Clubs","Yes","Smartphone",45.2,54.4,69.1,39.8,"Yes","Full","Off-Campus","No",60.6,8.3,"Low",12.9,"Education","3rd",5721.3,"Good","Good","Moderate","Low",54.4333333333333
714,29,"Female","Urban","Middle","Primary",-19050.61,50.7,17.7,0.606808142620139,9,"None","Yes","None",58.5,79,85.9,82.1,"No","None","Off-Campus","No",50.8,5.5,"Low",14.6,"Arts","3rd",2179.22,"Excellent","Excellent","Moderate","Low",82.3333333333333
715,28,"Male","Rural","Middle","Secondary",23558.44,81.7,14.1,0.600228665396571,3.9,"Both","Yes","Smartphone",46.7,68.3,50.4,65.6,"No","Full","On-Campus","Yes",43.1,6.2,"Low",5.2,"Education","1st",-567.29,"Fair","Average","Moderate","Medium-Low",61.4333333333333
716,21,"Male","Urban","Middle","Tertiary",37749.73,54.2,7.3,0.760640728170983,13.3,"Both","Yes","Both",88.6,69.8,75.4,72.2,"No","None","Off-Campus","No",11.6,7.9,"Low",18.4,"Engineering","1st",2607.9,"Excellent","Good","Low","High",72.4666666666667
717,27,"Male","Urban","Middle","Secondary",-5425.49,73.3,17.3,0.553260058630258,0.3,"Sports","No","Smartphone",56.1,57.7,49.6,62.9,"No","None","On-Campus","No",32.3,4.9,"Moderate",17.4,"Engineering","3rd",1194.58,"Good","Good","Moderate","Low",56.7333333333333
718,22,"Male","Urban","Low","Tertiary",40651.37,45.7,15.2,0.557391087990254,6.5,"Clubs","Yes","Both",91.3,58.6,41,63.5,"No","None","Off-Campus","Yes",47.7,5.8,"High",12.5,"Education","1st",1313.9,"Excellent","Poor","Moderate","High",54.3666666666667
719,25,"Male","Urban","High","Primary",39595.42,91.7,21.9,0.667758054798469,10.1,"Both","No","Smartphone",53.1,49.3,63.5,54.5,"Yes","None","Off-Campus","Yes",25.1,7.9,"Moderate",16.5,"Engineering","1st",3319.36,"Fair","Good","High","High",55.7666666666667
720,18,"Male","Urban","Low","Secondary",7149.31,28.5,14.7,0.630674734013155,7.2,"None","No","Smartphone",98.7,54.7,44.7,76.1,"Yes","None","On-Campus","No",37.7,6.5,"Low",14.2,"Arts","3rd",2380.82,"Excellent","Average","Moderate","Low",58.5
721,27,"Female","Rural","Middle","Primary",27745.82,79.2,22.1,0.799839872517623,0.7,"Sports","Yes","Smartphone",87.5,64.7,39.3,36.7,"No","Partial","On-Campus","Yes",32.2,5.6,"Moderate",18.8,"Education","1st",2510.24,"Good","Excellent","High","Medium-High",46.9
722,25,"Male","Rural","High","Secondary",9768.69,3.6,11,0.977678557042964,3,"None","No","Smartphone",88.6,62.4,65.8,67.5,"No","Partial","Off-Campus","No",30.8,9.4,"High",11.2,"Education","3rd",6083.34,"Fair","Poor","Moderate","Low",65.2333333333333
723,28,"Female","Rural","Low","Secondary",30464.13,40.6,20.7,0.569529722677544,4.5,"Clubs","Yes","None",63.4,87.3,69.7,55.6,"Yes","None","Off-Campus","No",13.3,4.8,"Moderate",21,"Arts","1st",5417.1,"Excellent","Excellent","High","Medium-High",70.8666666666667
724,25,"Male","Rural","Low","Tertiary",15202.34,83.7,16.3,0.57612715032883,7.1,"Sports","Yes","None",57.6,59.6,42.1,75.5,"No","None","Off-Campus","No",49.8,7.2,"High",16.2,"Engineering","3rd",3624.29,"Excellent","Poor","Moderate","Low",59.0666666666667
725,20,"Other","Urban","Low","None",-1560.53,89.2,13.4,0.755316161434166,8.7,"Sports","No","Smartphone",58.7,27.9,76.8,62.8,"No","None","On-Campus","No",1,3.8,"Moderate",18.3,"Sciences","3rd",4642.13,"Excellent","Average","Moderate","Low",55.8333333333333
726,28,"Male","Rural","Middle","Secondary",25647.61,85.2,18.5,0.89433920243755,3.9,"Sports","Yes","Both",47.4,60.6,74.2,53.2,"Yes","Full","Off-Campus","No",31.5,4.2,"Low",12.8,"Education","1st",4327.04,"Fair","Excellent","Moderate","Medium-High",62.6666666666667
727,27,"Female","Rural","Low","Primary",32202.86,58.3,25.3,0.586664915201254,1.7,"Sports","Yes","None",55.4,78.2,62.6,51,"Yes","Partial","Off-Campus","No",34.7,5.9,"Low",16.5,"Engineering","4th",5377.98,"Excellent","Excellent","High","Medium-High",63.9333333333333
728,19,"Female","Rural","Middle","Tertiary",51474.81,62.1,16.2,0.645634061773308,1.8,"Sports","Yes","Laptop",99.1,34.9,66.5,64.8,"Yes","None","On-Campus","No",16,7.9,"Low",17,"Engineering","2nd",3436.23,"Excellent","Excellent","Moderate","High",55.4
729,27,"Male","Urban","Low","Secondary",24215.07,27.7,5.5,0.547057038755156,3.3,"Clubs","Yes","Smartphone",89.6,55.6,62.2,30.7,"No","None","On-Campus","No",24.4,6.6,"Low",12.4,"Sciences","2nd",2654.85,"Good","Poor","Low","Medium-Low",49.5
730,28,"Male","Urban","High","Secondary",14702.36,61.3,19.3,0.642283214488998,4.8,"Clubs","Yes","Smartphone",43.8,76.2,56.8,54.8,"No","None","On-Campus","No",19.4,6.9,"High",13.3,"Arts","2nd",2786.81,"Good","Poor","Moderate","Low",62.6
731,20,"Female","Urban","Low","None",-8641.67,16.7,14.3,0.717807889799587,2.9,"Clubs","Yes","Laptop",70.2,46,29.7,68.8,"No","None","Off-Campus","No",41.5,9.7,"Moderate",10.2,"Arts","4th",4501.4,"Good","Good","Moderate","Low",48.1666666666667
732,18,"Female","Urban","Middle","Secondary",34401.81,98.5,7.6,0.85373384191189,4.7,"Clubs","Yes","Laptop",65.1,39.8,65,69.1,"Yes","None","On-Campus","Yes",1.5,7.5,"Moderate",14,"Arts","2nd",3799.78,"Excellent","Average","Low","Medium-High",57.9666666666667
733,24,"Female","Rural","Middle","Secondary",17443.6,89.9,12.2,0.53218416753225,6.3,"Sports","No","None",88,45.8,90.3,69.2,"Yes","None","On-Campus","Yes",27.8,8.9,"High",14.6,"Engineering","3rd",569,"Excellent","Poor","Moderate","Medium-Low",68.4333333333333
734,29,"Male","Rural","Low","None",30531.13,98.3,16.9,0.967297053080983,7,"None","Yes","None",76.9,63.8,43.8,63.8,"Yes","Partial","On-Campus","Yes",29.8,7.3,"Low",15.7,"Business","4th",1432.64,"Fair","Excellent","Moderate","Medium-High",57.1333333333333
735,21,"Male","Urban","Low","None",45791.06,95.4,16.8,0.623733468586579,6.8,"Sports","Yes","Both",64.3,25.5,49.4,57.1,"No","None","Off-Campus","Yes",56.6,5.4,"Moderate",14.1,"Engineering","4th",3292.9,"Good","Average","Moderate","High",44
736,19,"Female","Rural","Middle","Secondary",34432.26,30.8,7.9,0.879750049556606,4.2,"Both","Yes","None",44,66.2,63.7,80.5,"No","None","Off-Campus","Yes",29.1,8.5,"Low",12.9,"Education","2nd",3982.55,"Excellent","Excellent","Low","Medium-High",70.1333333333333
737,20,"Male","Urban","Low","Tertiary",27260.63,69.5,16.8,0.865370832616463,7.5,"Both","Yes","Laptop",64.4,70.6,60.8,61.4,"No","None","Off-Campus","No",55.8,5.2,"Low",17.8,"Business","3rd",626.63,"Fair","Good","Moderate","Medium-High",64.2666666666667
738,30,"Female","Urban","Low","Tertiary",24827.59,8.3,19.5,0.686955181066878,7.8,"Both","Yes","None",63.3,67,47.8,65.6,"Yes","None","On-Campus","No",13.1,7.7,"Moderate",14.6,"Sciences","3rd",22.4,"Excellent","Excellent","Moderate","Medium-Low",60.1333333333333
739,19,"Female","Urban","Low","Secondary",21753.94,95.3,17.1,0.561894584679976,5.9,"Clubs","Yes","Smartphone",86.3,58.9,65.2,55.6,"Yes","None","On-Campus","No",35.4,9,"Low",13.7,"Sciences","3rd",2741.92,"Excellent","Average","Moderate","Medium-Low",59.9
740,25,"Male","Rural","Low","None",NA,39.8,13.5,0.561834573862143,8,"Sports","Yes","Laptop",79.8,34,67.8,42.8,"Yes","None","Off-Campus","No",34.6,8.3,"Moderate",14.1,"Sciences","3rd",1618.92,"Fair","Average","Moderate",NA,48.2
741,25,"Male","Rural","Middle","Secondary",32100.05,91.4,16.1,0.912192441057414,2.2,"Both","Yes","Smartphone",85,77.3,51.5,55.4,"No","None","Off-Campus","No",26.5,9.7,"Moderate",15.2,"Sciences","4th",1124.26,"Good","Excellent","Moderate","Medium-High",61.4
742,18,"Female","Rural","Low","Secondary",30559.29,60.2,16.3,0.779428357142024,7.3,"Sports","Yes","Smartphone",74.5,91.2,33.9,59.6,"Yes","None","Off-Campus","Yes",13.9,9.9,"Moderate",20.5,"Sciences","3rd",4140.27,"Excellent","Good","Moderate","Medium-High",61.5666666666667
743,18,"Male","Rural","Middle","None",16581.78,22.1,10.6,NA,7.8,"None","Yes","Laptop",51.4,67.6,44.5,78.2,"No","None","Off-Campus","No",42.7,5.8,"High",14.8,"Education","4th",7255.1,"Fair",NA,"Moderate","Medium-Low",63.4333333333333
744,21,"Male","Urban","Middle","Primary",17323.93,38.4,15.5,0.953809796366841,6.3,"Both","Yes","Both",46.4,NA,74.8,78,"Yes","None","Off-Campus","Yes",13.1,6.8,"Moderate",15.6,"Education","4th",1183.38,"Good",NA,"Moderate","Medium-Low",76.4
745,27,"Female","Urban","Middle","Secondary",27628.2,19.6,18.9,0.511792598990723,10.4,"Sports","No","Laptop",82.1,84.5,49.3,44.2,"No","None","Off-Campus","Yes",13.2,7.6,"High",18.1,"Business","3rd",2956.47,"Good","Poor","Moderate","Medium-High",59.3333333333333
746,23,"Male","Urban","Middle","Primary",33251.41,12.8,18.5,0.542470717453398,5.6,"None","Yes","None",40.5,72.6,63.3,57.1,"No","None","Off-Campus","No",63.8,8.7,"Moderate",16.8,"Engineering","3rd",-87.57,"Excellent","Excellent","Moderate","Medium-High",64.3333333333333
747,30,"Male","Urban","Middle","Secondary",6250.36,87.6,8,0.729670063126832,5.9,"Both","Yes","None",77.3,64.4,40.2,89.7,"No","None","Off-Campus","No",21.9,4.8,"Low",16.5,"Business","4th",5072.43,"Fair","Good","Low","Low",64.7666666666667
748,22,"Male","Urban","Middle","Primary",6444,28.1,15.2,0.938953302218579,3.6,"Sports","Yes","None",98.7,35.6,45.9,77.4,"No","Full","On-Campus","No",34.7,5.7,"Low",8.4,"Business","4th",3438.44,"Fair","Excellent","Moderate","Low",52.9666666666667
749,23,"Female","Rural","Low","Primary",22201.95,54.8,19.2,0.702051210450009,7.7,"None","No","Both",77.3,55.9,45.4,75.3,"Yes","None","Off-Campus","No",29.5,4.2,"High",13.1,"Arts","2nd",3129.41,"Fair","Average","Moderate","Medium-Low",58.8666666666667
750,23,"Female","Rural","Low","None",17598.57,33.2,20.9,0.654367935843766,2.4,"Both","Yes","Both",94.7,30.7,64.3,49.2,"No","None","On-Campus","No",20.6,8.3,"Low",16,"Sciences","2nd",3765.08,"Good","Excellent","High","Medium-Low",48.0666666666667
751,23,"Male","Rural","Middle","Secondary",-588.48,37.3,5.6,0.958301429171115,7.1,"Clubs","Yes","Smartphone",70.3,91.4,61,76,"Yes","None","Off-Campus","No",31.7,7.1,"Low",17.3,"Arts","1st",523.64,"Fair","Excellent","Low","Low",76.1333333333333
752,19,"Female","Urban","Low","Secondary",3682.01,45.1,27.4,0.565691585070454,-1.2,"Clubs","Yes","None",88,60.8,44.4,72.4,"Yes","Full","On-Campus","No",10.8,7,"Low",16.2,"Education","4th",961.07,"Excellent","Excellent","High","Low",59.2
753,28,"Female","Rural","Low","Primary",34259.42,38.2,11.8,0.704144630930386,4.7,"Sports","No","Laptop",45.6,46.7,61.2,44.9,"Yes","None","On-Campus","No",24.4,5.3,"Moderate",11.1,"Business","4th",4375.34,"Good","Average","Moderate","Medium-High",50.9333333333333
754,21,"Female","Urban","Middle","Secondary",28672.8,82,16.8,NA,4.4,"Sports","Yes","Both",54.4,44.5,71.8,46.7,"Yes","None","Off-Campus","Yes",54.1,7.1,"Low",10.1,"Arts","2nd",1736.41,"Excellent",NA,"Moderate","Medium-High",54.3333333333333
755,21,"Male","Rural","Low","Primary",33252.94,52.6,29,0.682410187553614,1.8,"Clubs","Yes","Both",73.4,49.8,40.9,87.1,"No","None","On-Campus","No",25.1,8.2,"High",11.5,"Engineering","4th",3774.52,"Good","Excellent","High","Medium-High",59.2666666666667
756,28,"Female","Rural","Middle","Secondary",25122.48,96.9,16.8,0.763070771470666,3.9,"Both","Yes","Smartphone",72.8,69.4,84.7,48.4,"Yes","None","On-Campus","No",18.2,9.8,"Low",14.4,"Engineering","2nd",3725.81,"Fair","Good","Moderate","Medium-Low",67.5
757,25,"Female","Rural","Middle","Primary",16663.37,80.7,13.4,0.90430363023188,6.5,"None","Yes","None",79.7,53.9,51.9,51.2,"No","Partial","Off-Campus","Yes",57.6,8,"Moderate",18.4,"Arts","4th",-444.9,"Good","Good","Moderate","Medium-Low",52.3333333333333
758,29,"Female","Rural","Low","Secondary",9911.64,91.1,22,0.6981592529919,7.9,"Clubs","Yes","Both",72.9,44.8,69.8,76.5,"Yes","None","Off-Campus","No",32.6,8.4,"High",17.4,"Arts","1st",4777.08,"Good","Excellent","High","Low",63.7
759,26,"Other","Urban","Middle","Tertiary",44085.87,65.9,16,0.730753308977,7.2,"Both","No","Smartphone",79.4,66.6,59.5,48.7,"Yes","None","On-Campus","Yes",38.5,5.9,"Moderate",16.3,"Education","2nd",2791.05,"Excellent","Good","Moderate","High",58.2666666666667
760,18,"Male","Urban","Middle","Tertiary",NA,70.3,15.5,0.652640092885122,1.7,"None","No","None",77,51.5,55.1,73.8,"Yes","None","On-Campus","Yes",39.5,5.2,"Moderate",10,"Business","2nd",3694.31,"Good","Average","Moderate",NA,60.1333333333333
761,18,"Other","Rural","High","Secondary",48293.93,34.1,15.8,0.672220652224496,1.7,"Both","Yes","None",47.1,69.5,55.6,51.9,"Yes","None","On-Campus","No",34.6,7.5,"Moderate",14,"Business","4th",3472.41,"Excellent","Good","Moderate","High",59
762,29,"Male","Urban","Low","Primary",12867.08,56.4,14.3,0.759825224406086,4.6,"Both","No","Smartphone",76.9,53.7,64.9,71.8,"Yes","None","Off-Campus","No",24.8,8.3,"Moderate",13.9,"Sciences","1st",3485.82,"Excellent","Average","Moderate","Low",63.4666666666667
763,29,"Other","Urban","Middle","Secondary",21562.05,78.3,7.2,NA,-0.3,"Both","No","None",41.9,63.6,73.5,36.7,"No","None","Off-Campus","Yes",58.7,9,"Moderate",16,"Sciences","3rd",4577.81,"Good",NA,"Low","Medium-Low",57.9333333333333
764,24,"Male","Rural","Low","Primary",NA,33.6,20.1,0.752735515241511,7.7,"Sports","No","None",81.4,67.4,64.6,70.4,"Yes","None","Off-Campus","No",27.2,7.2,"Low",16.3,"Business","1st",3789.46,"Excellent","Excellent","High",NA,67.4666666666667
765,22,"Female","Urban","Low","Tertiary",6885.25,52.5,14.2,0.958729520905763,4.3,"Sports","Yes","Laptop",66.8,49,73,59.7,"Yes","Full","On-Campus","Yes",25.5,7.3,"Moderate",13.3,"Arts","4th",-569.38,"Fair","Excellent","Moderate","Low",60.5666666666667
766,18,"Female","Rural","Middle","Tertiary",39501.77,31.7,20.1,0.886023052269593,6.2,"None","Yes","Smartphone",74.4,63.4,56,74.1,"Yes","None","Off-Campus","Yes",56.4,7.7,"Moderate",16.6,"Education","1st",5682.73,"Fair","Excellent","High","High",64.5
767,18,"Male","Rural","Middle","Secondary",NA,81.3,20.8,0.852502358844504,10.7,"Both","Yes","Laptop",42.1,68.8,82,53.1,"Yes","Partial","On-Campus","No",17.8,5.4,"Low",15.9,"Education","4th",4271.46,"Excellent","Good","High",NA,67.9666666666667
768,26,"Other","Urban","Middle","Primary",3963.4,40.2,13.4,0.758306464529596,4.9,"Clubs","No","Laptop",73.1,55.6,73.4,68.1,"No","None","On-Campus","Yes",8.4,6.3,"Low",13.1,"Business","1st",5899.29,"Excellent","Excellent","Moderate","Low",65.7
769,25,"Male","Urban","Middle","Secondary",42696.63,72.7,19.1,0.792222996824421,0,"Clubs","No","Both",55.6,41,38.2,81.5,"No","None","On-Campus","No",56.7,6.3,"High",15,"Engineering","2nd",7829.41,"Excellent","Poor","Moderate","High",53.5666666666667
770,24,"Male","Urban","Middle","Tertiary",27604.43,6.2,17.5,0.663015742786229,6.1,"None","Yes","None",43.2,69.9,68.4,78.6,"Yes","Partial","Off-Campus","No",27.6,6.1,"Low",13.1,"Engineering","2nd",-755.01,"Good","Excellent","Moderate","Medium-High",72.3
771,22,"Male","Rural","Middle","None",35969.85,69,14.9,0.613396254950203,6.5,"Both","Yes","Laptop",84.8,49.1,61.1,38.2,"No","Partial","On-Campus","Yes",16.3,5.2,"Moderate",10.9,"Business","4th",4072.04,"Fair","Average","Moderate","High",49.4666666666667
772,26,"Female","Urban","Middle","None",14204.33,11.2,8.8,0.94605851022061,2.8,"Both","Yes","Laptop",59.7,82.8,24,49.8,"Yes","None","Off-Campus","Yes",32.4,8.6,"Low",16.5,"Arts","2nd",2067.6,"Excellent","Good","Low","Low",52.2
773,28,"Female","Urban","Middle","Tertiary",26871.17,3,14.6,0.811835406231694,1.3,"Clubs","Yes","None",48.4,61.3,67.1,73.1,"No","None","On-Campus","Yes",28.4,4.6,"Moderate",15.2,"Sciences","4th",3937.47,"Fair","Good","Moderate","Medium-High",67.1666666666667
774,21,"Male","Urban","High","None",-2292.79,11.5,11.3,0.513211441691965,9.3,"Clubs","Yes","Both",46.4,61.4,69.1,46,"Yes","None","On-Campus","Yes",40.6,6.6,"Moderate",10.8,"Education","2nd",1161.2,"Excellent","Average","Moderate","Low",58.8333333333333
775,27,"Female","Urban","Low","Tertiary",33945.75,53.4,13.9,0.505248069297522,3.3,"Sports","Yes","Laptop",53,61.3,30.1,70.1,"Yes","None","Off-Campus","Yes",20.3,4.6,"Low",12.3,"Arts","1st",675.83,"Excellent","Average","Moderate","Medium-High",53.8333333333333
776,24,"Male","Rural","Middle","Tertiary",17431.7,3.8,20.7,0.582799934432842,4.3,"Both","Yes","Smartphone",66.8,42.4,68.6,65,"Yes","None","On-Campus","Yes",29,7.1,"Low",15.9,"Business","3rd",3375.16,"Excellent","Excellent","High","Medium-Low",58.6666666666667
777,23,"Male","Urban","Middle","Secondary",16808.97,20.5,20.1,0.878328038146719,6.4,"None","Yes","Smartphone",96.5,65.8,54.1,76.7,"No","None","Off-Campus","No",32.5,7.3,"Moderate",14.4,"Arts","3rd",915.26,"Excellent","Excellent","High","Medium-Low",65.5333333333333
778,24,"Male","Urban","Middle","Secondary",43183.38,60.9,12.1,0.770273613394238,5.5,"None","Yes","Both",42,70.3,40.7,59.5,"No","None","On-Campus","No",51.5,7.4,"Low",20.2,"Business","2nd",2943.78,"Excellent","Average","Moderate","High",56.8333333333333
779,19,"Male","Urban","Low","Primary",18488.29,10.7,9.1,0.796774770366028,6.3,"Sports","Yes","Smartphone",63.5,64.2,62.2,57.7,"No","Full","On-Campus","No",31.7,6.5,"High",22.2,"Engineering","4th",5778.37,"Fair","Poor","Low","Medium-Low",61.3666666666667
780,27,"Female","Urban","Low","Secondary",31971.48,21.1,22,0.695942946011201,6.6,"None","Yes","None",89.8,NA,66.8,33.7,"No","None","Off-Campus","No",21.6,7.7,"Moderate",12.1,"Arts","2nd",-1157.09,"Fair",NA,"High","Medium-High",50.25
781,19,"Male","Urban","Low","Primary",3004.4,51.5,19,0.911173730157316,3.1,"None","Yes","Both",62.2,55,53.7,71.8,"No","None","Off-Campus","Yes",24.4,6.1,"High",12.5,"Sciences","4th",4178.5,"Good","Good","Moderate","Low",60.1666666666667
782,25,"Male","Rural","Middle","Tertiary",12815.93,64.8,11.3,0.719354320666753,4.3,"Clubs","Yes","Smartphone",86.2,68,58.7,49.4,"No","None","On-Campus","Yes",20,7.6,"Moderate",13.4,"Business","4th",3217.15,"Fair","Good","Moderate","Low",58.7
783,20,"Female","Urban","Middle","Tertiary",34139.21,2,18.1,0.737946545588784,5,"Clubs","Yes","Laptop",42.9,21.7,51.1,71.6,"No","None","On-Campus","No",66.6,9.9,"Low",12.8,"Arts","3rd",1713.33,"Fair","Average","Moderate","Medium-High",48.1333333333333
784,23,"Male","Rural","Middle","Primary",8331.11,75.7,9.7,0.748269483447075,8.2,"Both","Yes","None",63.6,64.3,67.1,71.9,"No","None","On-Campus","No",6.4,8.1,"Moderate",19.1,"Sciences","1st",5292.87,"Excellent","Good","Low","Low",67.7666666666667
785,26,"Male","Rural","Low","Secondary",8975.5,78.8,6.6,0.942674214136787,0.5,"Sports","No","Smartphone",84.9,86.1,46.5,65.9,"Yes","None","Off-Campus","No",10.5,6.6,"Moderate",8.2,"Sciences","2nd",5428.92,"Excellent","Average","Low","Low",66.1666666666667
786,19,"Female","Urban","Middle","Primary",11430.48,17.6,14.3,0.866319027263671,1,"Both","Yes","Both",48.2,66.2,60.2,45.8,"No","None","On-Campus","Yes",19.9,4.8,"High",17.8,"Engineering","2nd",4585.68,"Good","Average","Moderate","Low",57.4
787,18,"Female","Urban","Middle","Secondary",22797.38,26.4,10.6,0.904146588640288,7.3,"Both","Yes","Both",85.8,56.3,47.1,73.9,"No","Partial","Off-Campus","No",20.3,5.9,"Moderate",10.7,"Business","1st",223.5,"Good","Good","Moderate","Medium-Low",59.1
788,17,"Male","Rural","Low","Secondary",38857.04,79.8,17,0.984071597224101,8.2,"Sports","No","Both",48.4,53.5,86.2,70.8,"Yes","None","On-Campus","Yes",36.2,8.2,"High",11.7,"Education","4th",6535.87,"Excellent","Excellent","Moderate","High",70.1666666666667
789,29,"Female","Urban","Middle","Secondary",22689.05,58.5,9.3,0.532307734945789,5.5,"Both","Yes","Smartphone",46.3,30.3,62.5,39.1,"Yes","None","On-Campus","No",20.3,8.8,"Low",14.3,"Engineering","4th",1717.7,"Fair","Poor","Low","Medium-Low",43.9666666666667
790,28,"Male","Urban","High","Secondary",17070.93,63.4,15.1,0.569736777804792,6.5,"Both","Yes","Both",62.7,80.2,65.8,60.3,"No","None","Off-Campus","No",30.8,5.9,"Low",15,"Engineering","1st",3359.05,"Fair","Average","Moderate","Medium-Low",68.7666666666667
791,23,"Female","Rural","Middle","Primary",31449.54,45.6,14.4,0.738801122759469,6.3,"Clubs","Yes","Laptop",41,74.9,57.9,75.2,"No","Full","Off-Campus","No",30.1,8.3,"High",13.6,"Business","4th",5287.09,"Excellent","Poor","Moderate","Medium-High",69.3333333333333
792,21,"Male","Urban","High","Secondary",33989.72,30.8,14,0.706871859496459,6.6,"Sports","Yes","Both",92.2,78.3,44.1,61.5,"No","None","On-Campus","No",49.5,3.9,"Low",7.5,"Engineering","4th",-2609.34,"Excellent","Good","Moderate","Medium-High",61.3
793,19,"Male","Urban","Middle","None",39020.72,22.1,17,0.940659706364386,4.4,"Both","Yes","Smartphone",97.3,34.3,75.3,47.5,"Yes","Full","On-Campus","No",37.2,6.5,"High",9.9,"Engineering","2nd",1164.56,"Excellent","Average","Moderate","High",52.3666666666667
794,26,"Male","Rural","Middle","Secondary",4301.12,15.5,20.2,0.788205832592212,6,"None","Yes","Both",84.7,57.9,57.7,50.7,"No","Partial","Off-Campus","No",5.7,10.1,"High",15,"Education","3rd",4450.55,"Fair","Average","High","Low",55.4333333333333
795,26,"Male","Rural","Middle","Tertiary",32740.62,69.6,20.6,0.560582640231587,5.5,"Both","Yes","Laptop",43.6,58.5,41.6,71.2,"Yes","Partial","Off-Campus","No",48.1,6,"Moderate",14.6,"Engineering","4th",3372.08,"Excellent","Average","High","Medium-High",57.1
796,25,"Male","Urban","Middle","Secondary",28218.35,61.3,7.4,0.926691115135327,5.5,"Both","Yes","None",98,80.1,21.2,82.8,"Yes","None","On-Campus","No",28.4,6.3,"High",17.5,"Arts","3rd",824.7,"Excellent","Poor","Low","Medium-High",61.3666666666667
797,24,"Female","Urban","Middle","Secondary",-14.27,57.5,5.2,0.659272875403985,5.8,"Clubs","No","Both",88.7,72.5,61.9,57.8,"No","None","On-Campus","No",42,6.6,"Low",18.7,"Engineering","1st",2995.61,"Fair","Poor","Low","Low",64.0666666666667
798,18,"Male","Urban","Middle","Tertiary",56172.27,12.3,9.9,0.864167807041667,6.9,"Sports","Yes","Both",74.1,56.9,52.6,63.5,"Yes","Full","On-Campus","Yes",40.4,5.6,"High",16.5,"Sciences","4th",5667.78,"Good","Poor","Low","High",57.6666666666667
799,18,"Female","Urban","Middle","Secondary",28798.95,90.7,15,0.902278027031571,4,"None","Yes","None",71.5,48.5,73.2,45.2,"No","None","On-Campus","Yes",35.4,9,"Moderate",17.9,"Business","4th",3502.66,"Fair","Average","Moderate","Medium-High",55.6333333333333
800,26,"Male","Rural","Middle","Secondary",27743.59,16.3,13,0.653002949780785,10.5,"None","Yes","None",50.3,55.7,46.4,83.7,"No","None","On-Campus","No",29.1,7.8,"Low",13.1,"Engineering","3rd",-781.9,"Good","Excellent","Moderate","Medium-High",61.9333333333333
801,27,"Male","Rural","Low","Secondary",10373.51,13.8,8.8,0.621643088525161,9.5,"Sports","Yes","Smartphone",81.5,33.3,38.9,72.5,"No","None","Off-Campus","No",20.7,6.1,"High",13,"Business","3rd",2801.95,"Fair","Poor","Low","Low",48.2333333333333
802,28,"Male","Rural","Low","Primary",44863.61,94,17,0.517847204348072,-0.4,"None","Yes","Laptop",60.5,41.4,57.6,67.7,"Yes","None","Off-Campus","No",43.2,8.1,"High",15.1,"Business","2nd",115.11,"Fair","Poor","Moderate","High",55.5666666666667
803,21,"Female","Rural","Low","Primary",75091.67,31,9.8,0.92100518301595,1.6,"Sports","Yes","Laptop",51.6,84,42.3,37.9,"Yes","None","On-Campus","No",41,5.3,"High",13,"Business","3rd",1656.33,"Fair","Average","Low","High",54.7333333333333
